method,interaction recovery (thresholds 0.1),interaction recovery (thresholds 0.2),interaction recovery (thresholds 0.3),interaction recovery (thresholds 0.4),interaction recovery (thresholds 0.5),interaction recovery (thresholds 0.6),interaction recovery (thresholds 0.7),interaction recovery (thresholds 0.8),interaction recovery (thresholds 0.9),interaction recovery (thresholds 1.0)
crystal,1,1,1,1,1,1,1,1,1,1
AutoDock_Vina,0.802259887,0.790960452,0.745762712,0.677966102,0.638418079,0.542372881,0.457627119,0.384180791,0.231638418,0.186440678
glideSP,0.84180791,0.824858757,0.774011299,0.700564972,0.644067797,0.553672316,0.485875706,0.361581921,0.220338983,0.169491525
DiffBindFR_MDN,0.790960452,0.745762712,0.649717514,0.553672316,0.485875706,0.389830508,0.248587571,0.175141243,0.118644068,0.101694915
DiffBindFR_Smina,0.768361582,0.728813559,0.677966102,0.610169492,0.525423729,0.412429379,0.276836158,0.220338983,0.124293785,0.101694915
DynamicBind,0.355932203,0.288135593,0.197740113,0.141242938,0.11299435,0.06779661,0.039548023,0.028248588,0.016949153,0.016949153
DynamicBind_Relaxed,0.378531073,0.310734463,0.225988701,0.146892655,0.118644068,0.073446328,0.033898305,0.028248588,0.016949153,0.016949153
SurfDock,0.898305085,0.86440678,0.836158192,0.796610169,0.717514124,0.621468927,0.480225989,0.389830508,0.242937853,0.209039548
GAABind,0.745762712,0.711864407,0.638418079,0.587570621,0.519774011,0.406779661,0.276836158,0.18079096,0.096045198,0.073446328
Interformer_Energy,0.86440678,0.847457627,0.774011299,0.711864407,0.638418079,0.502824859,0.338983051,0.248587571,0.152542373,0.141242938
Interformer_PoseScore,0.875706215,0.858757062,0.807909605,0.728813559,0.649717514,0.553672316,0.355932203,0.259887006,0.163841808,0.15819209
KarmaDock,0.531073446,0.451977401,0.327683616,0.225988701,0.13559322,0.084745763,0.039548023,0.02259887,0.011299435,0.011299435
KarmaDock_aligned,0.548022599,0.435028249,0.310734463,0.214689266,0.152542373,0.101694915,0.033898305,0.02259887,0.02259887,0.02259887
KarmaDock_FF,0.576271186,0.468926554,0.355932203,0.248587571,0.175141243,0.096045198,0.050847458,0.033898305,0.011299435,0.011299435
QuickBind,0.203389831,0.18079096,0.118644068,0.06779661,0.04519774,0.016949153,0.005649718,0,0,0
